,round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,optimizer,shapes,weight_regulizer
387,100,9.178948918255895,0.42424242424242425,8.043752136404091,0.49544863459037713,<function elu at 0x7f1605d95158>,4,0.0,,100,16,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Nadam'>,brick,
388,50,0.3688115116999005,0.8575757575757575,0.4440718820305078,0.8010403120936281,<function relu at 0x7f1605d950d0>,2,0.0,,50,8,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Nadam'>,brick,
389,50,0.39751674701680445,0.8121212121212121,0.4315325812422603,0.8101430429128739,<function elu at 0x7f1605d95158>,1,0.0,,50,16,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.3125,<class 'keras.optimizers.Adam'>,brick,
390,150,0.3550790347384684,0.8636363636363636,0.43552699222099833,0.8101430429128739,<function relu at 0x7f1605d950d0>,2,0.0,,150,32,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.875,<class 'keras.optimizers.Adam'>,brick,
391,100,0.6886443080324115,0.5757575757575758,0.6944294605205521,0.4967490247074122,<function relu at 0x7f1605d950d0>,1,0.0,,100,64,5,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.3125,<class 'keras.optimizers.Nadam'>,brick,
392,150,0.29674247171179474,0.8636363695968281,0.32320440355497587,0.8452535832036766,<function elu at 0x7f1605d95158>,3,0.0,,150,64,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Nadam'>,funnel,
393,150,0.30752093842761086,0.8727272781458768,0.3894438682189417,0.8244473420286985,<function relu at 0x7f1605d950d0>,3,0.0,,150,8,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,4.4375,<class 'keras.optimizers.Adam'>,funnel,
394,50,0.684702764857899,0.5757575757575758,0.693262696188665,0.5097529258777633,<function relu at 0x7f1605d950d0>,1,0.0,,50,16,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.875,<class 'keras.optimizers.Nadam'>,funnel,
395,100,9.178948918255895,0.42424242424242425,8.043752099819706,0.49544863459037713,<function relu at 0x7f1605d950d0>,4,0.0,,100,32,5,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,brick,
396,150,9.178948828668307,0.42424242424242425,8.043752037347218,0.49544863459037713,<function elu at 0x7f1605d95158>,1,0.0,,150,32,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.3125,<class 'keras.optimizers.Nadam'>,brick,
